system,group,Freq,Percentage
current,1-5,0.002,0.2
current,6-10,0.003,0.3
current,11-20,0.002,0.2
current,21-50,0.009000000000000001,0.9
current,50-100,0.023,2.3
current,101+,0.961,96.1
current_relaxed,1-5,0.117,11.7
current_relaxed,6-10,0.10400000000000001,10.4
current_relaxed,11-20,0.16999999999999998,17
current_relaxed,21-50,0.31,31
current_relaxed,50-100,0.215,21.5
current_relaxed,101+,0.084,8.4
proposed,1-5,0.143,14.3
proposed,6-10,0.41100000000000003,41.1
proposed,11-20,0.37,37
proposed,21-50,0.075,7.5
proposed,50-100,0.001,0.1
proposed,101+,0,0
proposed_relaxed,1-5,0.573,57.3
proposed_relaxed,6-10,0.34099999999999997,34.1
proposed_relaxed,11-20,0.08399999999999999,8.4
proposed_relaxed,21-50,0.002,0.2
proposed_relaxed,50-100,0,0
proposed_relaxed,101+,0,0
